,축,모터 정격 토크,감속비,감속기 토크,변환 비율,,,,,,,
IR-TS4-35Z15S3-C2LH-INT_01741011,J1,1.75,50,127,0.688976378,,,,,,,
IR-TS4-35Z15S3-C2LH-INT_01741011,J2,1.27,50,73,0.869863014,,,,,,,
IR-TS4-35Z15S3-C2LH-INT_01741011,J3,0.32,1.146414634,0.84,0.436729384,,,,,,,
IR-TS4-35Z15S3-C2LH-INT_01741011,J4,0.32,12,8.06,0.476426799,,,,,,,
IR-TS5-55Z15S3-C2LH-INT_01741007,J1,1.75,50,127,0.688976378,,,,,,,
IR-TS5-55Z15S3-C2LH-INT_01741007,J2,1.27,50,73,0.869863014,,,,,,,
IR-TS5-55Z15S3-C2LH-INT_01741007,J3,0.48,1.268292683,1.4,0.434843206,,,,,,,
IR-TS5-55Z15S3-C2LH-INT_01741007,J4,0.48,12.18181818,11.77,0.496794624,,,,,,,
IR-S4-40Z15S3-C2LH-INT_01741009,J1,0.96,51,73,0.670684932,,,,,,,
IR-S4-40Z15S3-C2LH-INT_01741009,J2,0.48,51,44,0.556363636,,,,,,,
IR-S4-40Z15S3-C2LH-INT_01741009,J3,0.32,1.146341463,0.84,0.43670151,,,,,,,
IR-S4-40Z15S3-C2LH-INT_01741009,J4,0.32,12,8.06,0.476426799,,,,,,,
IR-S7-50Z20S3-C2LH-INT_01741022,J1,1.6,81,178,0.728089888,,,,,,,
IR-S7-50Z20S3-C2LH-INT_01741022,J2,0.96,51,73,0.670684932,,,,,,,
IR-S7-50Z20S3-C2LH-INT_01741022,J3,0.48,1.268292683,1.4,0.434843206,,,,,,,
IR-S7-50Z20S3-C2LH-INT_01741022,J4,0.48,13.63636364,11.77,0.556113385,,,,,,,
IR-S7-60Z20S3-C2LH-INT_01741021,J1,1.6,81,178,0.728089888,,,,,,,
IR-S7-60Z20S3-C2LH-INT_01741021,J2,0.96,51,73,0.670684932,,,,,,,
IR-S7-60Z20S3-C2LH-INT_01741021,J3,0.48,1.268292683,1.4,0.434843206,,,,,,,
IR-S7-60Z20S3-C2LH-INT_01741021,J4,0.48,13.63636364,11.77,0.556113385,,,,,,,
IR-S7-70Z20S3-C2LH-INT_01741020,J1,1.6,81,178,0.728089888,,,,,,,
IR-S7-70Z20S3-C2LH-INT_01741020,J2,0.96,51,73,0.670684932,,,,,,,
IR-S7-70Z20S3-C2LH-INT_01741020,J3,0.48,1.268292683,1.4,0.434843206,,,,,,,
IR-S7-70Z20S3-C2LH-INT_01741020,J4,0.48,13.63636364,11.77,0.556113385,,,,,,,
IR-S10-60Z20S3-C2LH-INT_01741025,J1,1.6,81,178,0.728089888,,,,,,,
IR-S10-60Z20S3-C2LH-INT_01741025,J2,0.96,51,73,0.670684932,,,,,,,
IR-S10-60Z20S3-C2LH-INT_01741025,J3,0.64,1.268292683,1.86,0.436401783,,,,,,,
IR-S10-60Z20S3-C2LH-INT_01741025,J4,0.48,13.63636364,13.74,0.476379516,,,,,,,
IR-S10-70Z20S3-C2LH-INT_01741018,J1,1.6,81,178,0.728089888,,,,,,,
IR-S10-70Z20S3-C2LH-INT_01741018,J2,0.96,51,73,0.670684932,,,,,,,
IR-S10-70Z20S3-C2LH-INT_01741018,J3,0.64,1.268292683,1.86,0.436401783,,,,,,,
IR-S10-70Z20S3-C2LH-INT_01741018,J4,0.48,13.63636364,13.74,0.476379516,,,,,,,
IR-S10-80Z20S3-C2LH-INT_01741017,J1,1.6,81,178,0.728089888,,,,,,,
IR-S10-80Z20S3-C2LH-INT_01741017,J2,0.96,51,73,0.670684932,,,,,,,
IR-S10-80Z20S3-C2LH-INT_01741017,J3,0.64,1.268292683,1.86,0.436401783,,,,,,,
IR-S10-80Z20S3-C2LH-INT_01741017,J4,0.48,13.63636364,13.74,0.476379516,,,,,,,
IR-S25-80Z42S5-C2LNHX_01741243,J1,6.36,81,1029,0.500641399,,,,,,,
IR-S25-80Z42S5-C2LNHX_01741243,J2,2.39,80,304.15,0.628637186,,,,,,,
IR-S25-80Z42S5-C2LNHX_01741243,J3,1.6,2.5,9.24,0.432900433,,,,,,,
IR-S25-80Z42S5-C2LNHX_01741243,J4,1.27,51,56.15,1.153517364,,,,,,,
IR-S25-100Z42S5-C2LNHX_01741244,J1,6.36,81,1029,0.500641399,,,,,,,
IR-S25-100Z42S5-C2LNHX_01741244,J2,2.39,80,304.15,0.628637186,,,,,,,
IR-S25-100Z42S5-C2LNHX_01741244,J3,1.6,2.5,9.24,0.432900433,,,,,,,
IR-S25-100Z42S5-C2LNHX_01741244,J4,1.27,51,56.15,1.153517364,,,,,,,
IR-S35-80Z42S5-C2LNHX-INT_01741206,J1,6.36,81,1029,0.500641399,,,,,,,
IR-S35-80Z42S5-C2LNHX-INT_01741206,J2,2.39,80,395,0.484050633,,,,,,,
IR-S35-80Z42S5-C2LNHX-INT_01741206,J3,1.6,2.5,12,0.333333333,,,,,,,
IR-S35-80Z42S5-C2LNHX-INT_01741206,J4,1.27,51,56.15,1.153517364,,,,,,,
IR-S35-100Z42S5-C2LNHX-INT_01741207,J1,6.36,81,1029,0.500641399,,,,,,,
